;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;Índice ;;;;;;;
;;;;;;;;;;;;;;
 Característica ;;jun-22;;;;;;;;;;;;
;;Nacional ;;Urbano ;;Rural ;;;;;;;;
;;Incidencia          (%);Ingreso promedio         (USD);Incidencia          (%);Ingreso promedio         (USD);Incidencia          (%);Ingreso promedio         (USD);;;;;;;
Tipo de Hogar ;Nuclear;21,9;54,5;14,4;60,4;38,9;49,5;;;;;;;
;Ampliado;22,7;58,0;17,0;59,9;35,9;56,0;;;;;;;
;Compuesto;21,1;54,2;9,4;57,5;54,2;52,6;;;;;;;
;Unipersonal;6,0;51,0;4,3;56,5;10,1;45,1;;;;;;;
;Corresidente;11,2;49,7;5,5;45,0;41,3;53,0;;;;;;;
Número de miembros en el hogar ;1;6,0;51,0;4,3;56,5;10,1;45,1;;;;;;;
;2;17,1;58,7;11,0;64,9;30,0;53,9;;;;;;;
;3;14,2;58,0;10,3;61,0;25,7;54,4;;;;;;;
;4;17,3;56,3;11,1;59,7;34,1;53,3;;;;;;;
;5;26,9;54,8;23,0;56,6;36,6;52,1;;;;;;;
;Mas de 6 ;38,0;53,4;23,7;61,1;60,1;48,7;;;;;;;
;;;;;;;;;;;;;;
Fuente: Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU;;;;;;;;;;;;;;
Notas: (1) Valores de ingreso expresados en dólares corrientes;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"*Desde 2020 hasta mayo de 2021 se implementó en la ENEMDU cambios metodológicos asociados al tamaño y distribución de la muestra, nivel de representatividad de los estimadores y construcción de factores de ponderación, afectando la comparabilidad histórica de las estadísticas oficiales. Ante esta problemática, se decidió mantener el esquema tradicional de diseño muestral, estandarizando el cálculo de factores de ponderación a nivel de la Unidad Primaria de Muestreo y recalculando los indicadores desde septiembre 2020 hasta mayo  2021, con el fin de mantener la comparabilidad de las cifras. Para mayor información referirse a la nota técnica disponible en: https://bit.ly/3hQMHRE
";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
